167,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,641,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,168,0,0,0,0,0,0,0,0,0,0,0,0
67,522,522,522,522,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,204,522,522,103,103,103,103,737,737,246,697,652,-1,103,103,103,-1,-1,-1,-1,604,-1,103,103,103,103,522,69,117,117,117,117,117,117,117,117,117,117,166,0
67,522,522,522,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,204,522,522,103,103,103,103,-1,737,249,737,-1,-1,-1,103,-1,-1,-1,737,-1,-1,-1,-1,103,103,522,522,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,216,166
67,522,522,645,-1,-1,-1,-1,-1,-1,-1,645,-1,-1,0,-1,-1,-1,-1,645,204,-1,522,103,103,-1,645,-1,-1,737,-1,-1,-1,-1,645,-1,-1,-1,-1,-1,-1,-1,645,-1,103,522,522,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
67,522,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,204,-1,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,737,-1,-1,-1,-1,-1,103,103,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
67,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,204,-1,-1,-1,-1,103,103,-1,-1,-1,-1,-1,-1,-1,103,103,-1,-1,-1,-1,-1,-1,103,-1,18,547,19,20,-1,-1,-1,745,746,747,-1,-1,-1,-1,-1,67
67,-1,-1,522,522,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,204,-1,-1,737,-1,-1,103,103,-1,-1,-1,-1,-1,103,103,103,-1,-1,-1,-1,-1,103,103,-1,67,-1,735,69,-1,-1,-1,797,447,798,-1,-1,-1,-1,-1,67
67,-1,522,645,-1,-1,-1,-1,-1,-1,-1,645,-1,-1,0,-1,-1,-1,-1,645,204,604,737,737,-1,-1,645,-1,-1,-1,-1,-1,-1,-1,645,103,-1,604,-1,103,103,103,645,103,67,397,288,69,-1,-1,-1,393,735,504,-1,-1,-1,-1,-1,67
216,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,204,117,117,117,117,117,117,117,166,-1,-1,-1,165,117,117,117,117,117,117,117,117,117,117,117,116,117,117,217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
165,217,309,309,-1,309,309,-1,309,309,-1,67,347,392,299,16,69,265,2,291,204,51,522,522,-1,103,522,522,116,117,300,117,118,51,51,51,51,51,51,51,51,51,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
69,-1,309,309,-1,309,309,-1,309,309,-1,67,17,17,16,16,69,147,1,687,204,51,522,-1,-1,-1,103,522,51,885,885,885,51,51,51,51,51,51,51,51,51,51,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
69,-1,309,309,-1,309,309,-1,309,309,-1,67,16,393,17,17,341,1,4,-1,204,51,51,51,103,-1,-1,-1,51,51,885,51,51,51,51,51,51,51,51,51,51,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
69,-1,309,309,-1,309,309,-1,309,309,-1,67,397,17,17,16,69,-1,4,54,204,51,51,51,51,103,103,-1,51,51,-1,51,51,51,51,51,51,51,51,51,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
69,-1,309,309,-1,309,309,-1,309,309,-1,67,17,16,16,17,69,-1,3,-1,204,309,309,-1,51,-1,51,51,51,51,-1,-1,51,51,51,51,51,51,51,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
69,148,148,148,148,148,148,151,148,148,148,745,746,746,746,746,747,98,4,50,204,309,-1,309,309,-1,51,51,51,-1,-1,-1,-1,-1,-1,51,51,51,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,343,797,796,797,444,797,796,152,199,152,204,-1,-1,-1,309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,51,51,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
